node1,node2,sim_out,sim_in,sim_both,avg_del,avg_del_normed
3,66,0.125338,0.955675,9921.700880,8633.271252,0.561149
4,5,0.118233,0.857037,3223.097223,2911.467167,0.189241
4,6,0.123917,0.713075,3316.007520,345.738800,0.022472
4,7,0.142113,0.626420,619.974681,440.484138,0.028631
4,8,0.124032,0.725110,1487.354069,703.719466,0.045741
4,9,0.180236,0.697403,608.595217,430.044176,0.027952
4,10,0.124027,0.713934,1886.577300,670.957659,0.043611
4,11,0.139049,0.798007,1645.106724,1462.824233,0.095081
4,12,0.156703,0.706841,594.227374,426.602822,0.027728
4,13,0.124047,0.796308,1143.179045,359.375756,0.023359
4,14,0.124418,0.742116,563.349524,377.150201,0.024514
4,15,0.125615,0.747394,1100.831108,1029.385244,0.066908
4,16,0.124080,0.747920,1388.743893,370.922409,0.024109
4,17,0.261982,0.767987,1252.106675,928.061353,0.060322
4,18,0.124128,0.784356,931.503632,377.461868,0.024534
4,19,0.167594,0.734782,966.014986,851.913120,0.055373
4,20,0.152893,0.718383,569.282563,401.980511,0.026128
4,21,0.125342,0.718480,837.693141,628.474334,0.040850
4,22,0.124095,0.787411,1818.421433,1185.478526,0.077054
4,23,0.124076,0.752755,1852.183184,883.498847,0.057426
4,24,0.124506,0.741705,592.423013,390.020915,0.025351
4,25,0.124122,0.737195,1031.099256,377.537221,0.024539
4,26,0.125162,0.739554,1012.793129,821.295772,0.053383
4,27,0.128514,0.709318,726.586863,531.982278,0.034578
4,28,0.124211,0.709525,807.826437,434.750192,0.028258
4,29,0.124092,0.707174,1424.084043,549.533708,0.035719
4,30,0.138190,0.714322,587.491748,414.654257,0.026952
4,31,0.124576,0.740950,1041.464396,818.698492,0.053214
4,32,0.124215,0.720669,987.734993,736.192291,0.047851
4,33,0.124065,0.728225,2219.551165,391.045280,0.025417
4,34,0.124513,0.852468,2462.679075,2795.605299,0.181710
4,35,0.124108,0.750183,1155.162303,376.058201,0.024443
4,36,0.124321,0.860696,605.284685,391.356949,0.025438
4,37,0.124293,0.712524,862.403983,585.909131,0.038083
4,38,0.124163,0.714377,884.774321,416.228103,0.027054
4,39,0.125692,0.711042,616.252806,430.134859,0.027958
4,40,0.124400,0.763876,599.927481,360.008983,0.023400
4,41,0.124329,0.780583,619.821398,356.214259,0.023153
4,42,0.134089,0.723327,560.381764,407.701739,0.026500
4,43,0.124164,0.735774,851.894629,403.971153,0.026257
4,44,0.125365,0.712632,777.489665,566.698081,0.036834
4,45,0.124383,0.721027,652.617022,401.094410,0.026070
4,46,0.128162,0.744035,1040.470526,1064.629146,0.069199
4,47,0.125961,0.714507,596.661521,485.440224,0.031553
4,48,0.124564,0.710087,775.035485,753.460487,0.048974
4,49,0.124090,0.783911,1394.893024,367.171421,0.023866
4,50,0.124317,0.725791,963.044393,864.096943,0.056165
4,51,0.124587,0.764729,1243.802560,1371.008731,0.089113
4,52,0.124084,0.756369,1519.255811,365.702137,0.023770
4,53,0.134424,0.796510,1552.571795,1906.808307,0.123939
4,54,0.124073,0.765929,2148.476783,1196.827838,0.077792
4,55,0.124104,0.804190,1966.454818,1314.621941,0.085448
4,56,0.124059,0.808834,3121.409243,1688.477886,0.109748
4,57,0.124563,0.772084,1313.858252,1086.496368,0.070620
4,58,0.124077,0.832850,2636.153098,1770.036616,0.115049
4,59,0.124253,0.719632,947.429629,619.864402,0.040290
4,60,0.124210,0.713661,937.861063,675.972296,0.043937
4,61,0.125726,0.708248,640.863839,444.977988,0.028923
4,62,0.124113,0.731419,1115.242016,387.431486,0.025182
4,63,0.124763,0.732680,965.290720,830.814490,0.054002
4,64,0.124093,0.818201,2220.483782,1492.745266,0.097026
4,65,0.124041,0.848654,10135.849687,2554.605834,0.166045
4,66,0.124069,0.955039,9919.173306,8622.070708,0.560421
5,6,0.122143,0.957350,4581.103900,3630.411266,0.235971
5,7,0.297591,0.727796,2773.953430,2647.531422,0.172085
5,8,0.123944,0.810983,3545.750934,2863.642044,0.186132
5,9,0.525040,0.892275,3296.707386,2955.341247,0.192092
5,10,0.123952,0.817821,3727.293012,2834.645646,0.184247
5,11,0.285702,0.734318,3586.367613,2699.019086,0.175432
5,12,0.397218,0.895548,3279.914496,2896.281887,0.188254
5,13,0.123665,0.953967,3432.013801,2972.196497,0.193188
5,14,0.127282,0.930703,3285.898583,2988.351637,0.194238
5,15,0.148957,0.781833,3355.329986,2626.273710,0.170704
5,16,0.124252,0.935340,3530.784237,2975.495498,0.193402
5,17,0.780937,0.781776,3481.216475,2899.816782,0.188483
5,18,0.124618,0.952535,3383.880472,3033.982835,0.197204
5,19,0.457153,0.818034,3384.222529,2724.195782,0.177068
5,20,0.373238,0.913610,3301.860483,2952.597395,0.191914
5,21,0.139323,0.844196,3355.964167,2848.196430,0.185128
5,22,0.124369,0.761249,3716.569908,2788.047556,0.181219
5,23,0.124237,0.797313,3736.440270,2803.674196,0.182234
5,24,0.129073,0.933578,3311.004863,3024.061755,0.196559
5,25,0.124691,0.930592,3416.394850,2957.346002,0.192223
5,26,0.137372,0.815856,3410.336123,2783.285827,0.180909
5,27,0.178032,0.868583,3337.737950,2887.386265,0.187675
5,28,0.125626,0.898757,3356.431415,2971.601755,0.193149
5,29,0.124434,0.880725,3555.157883,2810.933038,0.182706
5,30,0.269684,0.908612,3310.358813,2968.997351,0.192980
5,31,0.129994,0.814388,3419.913517,2795.683032,0.181715
5,32,0.125688,0.843193,3404.351611,2749.611023,0.178720
5,33,0.124229,0.924038,3942.160681,2924.689639,0.190100
5,34,0.129227,0.715603,4083.754900,2906.424840,0.188913
5,35,0.124585,0.938527,3456.710963,3003.482694,0.195221
5,36,0.126861,0.975206,3313.693008,3076.109891,0.199942
5,37,0.126565,0.859390,3370.164182,2846.822621,0.185039
5,38,0.125131,0.908714,3375.975640,2935.372159,0.190794
5,39,0.144312,0.902567,3315.754406,2928.041897,0.190318
5,40,0.127840,0.945230,3312.767100,2943.434941,0.191318
5,41,0.126987,0.952098,3316.425802,2982.283618,0.193844
5,42,0.234303,0.919609,3305.827054,2895.813095,0.188223
5,43,0.125137,0.929786,3367.543443,2871.550157,0.186646
5,44,0.140139,0.859147,3349.500512,2879.540895,0.187165
5,45,0.127636,0.917252,3322.740539,2931.436809,0.190539
5,46,0.174132,0.810763,3420.125005,2631.862349,0.171067
5,47,0.147732,0.908923,3312.198123,2811.661226,0.182753
5,48,0.129872,0.866137,3348.924271,2678.818984,0.174119
5,49,0.124426,0.953345,3544.068058,3017.686932,0.196145
5,50,0.126856,0.835057,3397.368523,2679.246469,0.174147
5,51,0.130158,0.787483,3487.359916,2570.229884,0.167061
5,52,0.124377,0.941711,3594.833142,2977.187874,0.193512
5,53,0.237370,0.756384,3609.029543,2563.789780,0.166642
5,54,0.124290,0.786219,3902.642926,2654.080679,0.172511
5,55,0.124553,0.749600,3805.474662,2846.484641,0.185017
5,56,0.124186,0.745644,4511.972158,2675.685331,0.173915
5,57,0.129855,0.779852,3512.965464,2762.097668,0.179532
5,58,0.124318,0.727275,4190.942996,2847.732120,0.185098
5,59,0.126107,0.845015,3392.982102,2875.607345,0.186910
5,60,0.125634,0.856739,3390.322778,2759.097460,0.179337
5,61,0.144753,0.894308,3320.453724,2951.993506,0.191875
5,62,0.124637,0.926611,3443.612601,2923.093764,0.189996
5,63,0.132398,0.825234,3398.012289,2735.706225,0.177816
5,64,0.124451,0.738035,3942.746911,2855.012484,0.185571
5,65,0.124066,0.717617,10646.602399,2849.556259,0.185217
5,66,0.124255,0.788615,10440.531389,8004.361180,0.520270
6,7,1.000626,0.833833,3312.025159,516.778297,0.033590
6,8,0.371337,0.896274,3532.598238,718.573323,0.046706
6,9,1.005594,0.809972,3318.851121,349.910487,0.022744
6,10,0.272208,0.892350,3688.426784,694.370044,0.045133
6,11,1.009641,0.940064,3653.199977,1560.248652,0.101414
6,12,1.006746,0.790311,3312.885356,382.400278,0.024855
6,13,0.393546,0.678054,3333.275487,154.841183,0.010064
6,14,0.944404,0.719804,3284.573490,207.302481,0.013474
6,15,1.005570,0.905269,3422.358028,1112.876707,0.072335
6,16,0.338060,0.736753,3515.027094,225.932019,0.014685
6,17,1.003581,0.928686,3494.071106,958.411571,0.062295
6,18,0.506467,0.709953,3381.125114,148.038687,0.009622
6,19,1.006639,0.904363,3401.693191,937.956572,0.060966
6,20,1.008127,0.800836,3311.742612,319.862729,0.020791
6,21,0.997140,0.886403,3366.365975,658.133604,0.042778
6,22,0.387620,0.938599,3717.287256,1263.443653,0.082122
6,23,0.303117,0.919588,3729.352665,943.110227,0.061301
6,24,0.909890,0.778075,3315.932845,210.409595,0.013676
6,25,0.464774,0.782201,3419.854504,284.010630,0.018460
6,26,0.990455,0.912671,3416.145386,891.720931,0.057960
6,27,1.013624,0.871902,3343.091091,536.123666,0.034847
6,28,0.678394,0.837050,3361.314035,351.151789,0.022824
6,29,0.348632,0.858932,3559.045540,600.375661,0.039023
6,30,1.010961,0.822955,3315.680671,325.755310,0.021174
6,31,0.928854,0.914188,3425.164705,884.865653,0.057515
6,32,0.684589,0.894414,3409.438584,818.688185,0.053213
6,33,0.229917,0.797914,3946.445913,340.747833,0.022148
6,34,0.911037,0.965028,4088.181063,2950.610002,0.191785
6,35,0.409481,0.770050,3461.632884,217.912066,0.014164
6,36,0.812168,0.706174,3318.399802,88.354143,0.005743
6,37,0.785345,0.880897,3375.223472,618.783052,0.040220
6,38,0.579145,0.823264,3380.981396,362.498898,0.023562
6,39,1.003761,0.832254,3320.927929,386.949921,0.025151
6,40,0.864302,0.755938,3317.925961,277.337714,0.018026
6,41,0.817353,0.741035,3321.578298,215.361026,0.013998
6,42,1.012201,0.805785,3311.029407,388.726108,0.025267
6,43,0.579722,0.787521,3372.627424,405.522650,0.026358
6,44,0.997106,0.881187,3354.612234,579.467949,0.037664
6,45,0.854511,0.809885,3327.889288,346.932953,0.022550
6,46,1.013536,0.916722,3425.130172,1186.634627,0.077129
6,47,1.007005,0.823062,3317.368531,534.988510,0.034773
6,48,0.925436,0.874697,3354.041166,863.144235,0.056103
6,49,0.337927,0.738594,3548.892235,172.943023,0.011241
6,50,0.807824,0.900620,3402.408374,972.153862,0.063188
6,51,0.930938,0.929835,3492.273297,1510.540949,0.098183
6,52,0.313459,0.763615,3599.589530,240.204208,0.015613
6,53,1.012091,0.945116,3613.780578,2061.958461,0.134024
6,54,0.266091,0.930500,3907.026842,1314.815707,0.085461
6,55,0.395634,0.948265,3809.971287,1390.509345,0.090381
6,56,0.202300,0.950091,4515.764253,1817.405853,0.118128
6,57,0.925089,0.933775,3517.835367,1173.400153,0.076269
6,58,0.281882,0.958754,4195.025866,1872.227312,0.121692
6,59,0.739387,0.893085,3398.023680,639.617703,0.041574
6,60,0.675788,0.883330,3395.368350,754.256354,0.049025
6,61,1.004251,0.843456,3325.605141,384.035021,0.024962
6,62,0.429124,0.793519,3448.580069,337.840847,0.021959
6,63,0.960912,0.907491,3403.046859,919.472391,0.059764
6,64,0.350231,0.953615,3947.086398,1577.177167,0.102514
6,65,0.131562,0.963874,10648.210500,2702.254638,0.175642
6,66,0.245185,0.990989,10442.171269,8748.323168,0.568627
7,8,0.123981,0.711508,1498.766788,705.357268,0.045847
7,9,0.207734,0.695714,642.584955,456.888149,0.029697
7,10,0.123983,0.702627,1896.389771,673.314806,0.043764
7,11,0.146856,0.781569,1650.974951,1438.351943,0.093491
7,12,0.166262,0.686661,612.224411,433.410914,0.028171
7,13,0.123781,0.785324,1155.688046,394.310043,0.025630
7,14,0.123387,0.732072,590.639806,409.850321,0.026640
7,15,0.122095,0.714212,1088.234966,993.205340,0.064557
7,16,0.124041,0.747259,1402.795125,406.127186,0.026398
7,17,0.317882,0.754495,1268.513915,926.302347,0.060208
7,18,0.124100,0.791188,955.813343,424.862478,0.027615
7,19,0.188406,0.721336,985.070865,835.985449,0.054338
7,20,0.167643,0.720670,607.804068,431.238702,0.028030
7,21,0.125751,0.709255,862.840118,629.909508,0.040943
7,22,0.124067,0.772699,1827.973235,1170.868470,0.076105
7,23,0.124055,0.739116,1862.473801,875.208856,0.056887
7,24,0.124662,0.751599,633.232357,435.499316,0.028307
7,25,0.124130,0.746230,1054.852827,412.226855,0.026794
7,26,0.125633,0.729964,1036.702994,813.749073,0.052892
7,27,0.130955,0.707187,760.307530,544.418598,0.035386
7,28,0.124253,0.713224,838.324653,466.443844,0.030318
7,29,0.124097,0.707163,1441.506094,551.051340,0.035817
7,30,0.146184,0.720013,628.801786,447.818894,0.029107
7,31,0.124778,0.731526,1065.172021,812.515279,0.052812
7,32,0.124262,0.714650,1012.895778,727.161270,0.047264
7,33,0.124068,0.736945,2230.869320,418.732518,0.027217
7,34,0.124690,0.841132,2472.829668,2763.612879,0.179630
7,35,0.124119,0.761131,1176.775897,419.738832,0.027282
7,36,0.124403,0.871103,645.546835,446.083403,0.028995
7,37,0.124370,0.708960,891.131222,590.954491,0.038411
7,38,0.124191,0.720213,912.806952,443.580193,0.028832
7,39,0.126505,0.715650,655.872879,455.108293,0.029581
7,40,0.124525,0.775539,640.564242,394.301625,0.025629
7,41,0.124422,0.792683,659.231901,398.442482,0.025898
7,42,0.139805,0.731275,603.680876,428.924837,0.027879
7,43,0.124192,0.745504,880.993399,421.224776,0.027379
7,44,0.125996,0.709056,809.271649,576.628789,0.037480
7,45,0.124500,0.728563,690.176716,429.105489,0.027891
7,46,0.130419,0.734441,1064.429952,1043.404038,0.067820
7,47,0.126930,0.720414,637.521544,489.137079,0.031793
7,48,0.124768,0.707685,806.909877,737.534246,0.047939
7,49,0.124097,0.796088,1412.855624,414.681915,0.026954
7,50,0.124406,0.718745,988.880344,847.566077,0.055090
7,51,0.124802,0.753532,1263.911129,1344.407961,0.087384
7,52,0.124090,0.767718,1535.764316,405.778923,0.026375
7,53,0.140336,0.784324,1568.726571,1875.522311,0.121906
7,54,0.124077,0.754668,2160.181431,1176.000373,0.076438
7,55,0.124114,0.791958,1979.237039,1303.248736,0.084709
7,56,0.124061,0.796602,3129.477723,1663.717927,0.108139
