node1,node2,sim_out,sim_in,sim_both,avg_del,avg_del_normed
4,43,0.833714,0.806019,127.162590,99.486591,0.357430
4,44,0.158961,0.746572,179.257493,28.298213,0.101668
4,45,0.174852,0.723869,136.088903,56.079545,0.201480
4,46,0.293820,0.826986,147.766702,101.856846,0.365946
4,47,0.869812,0.821508,139.031996,128.137780,0.460367
4,48,0.200274,0.914488,103.834678,31.498775,0.113167
5,6,0.046126,0.120114,11.903131,8.116577,0.029161
5,7,0.243018,0.555793,36.456662,21.591740,0.077574
5,8,0.305036,0.440802,37.644413,15.908195,0.057154
5,9,0.333243,0.521361,40.134078,18.759151,0.067397
5,10,0.568498,0.620644,54.085647,30.193669,0.108478
5,11,0.232583,0.700648,69.150721,32.442008,0.116556
5,12,0.225708,0.699342,70.563245,35.397872,0.127176
5,13,0.248793,0.675114,55.625205,21.465881,0.077122
5,14,0.225593,0.663958,64.945063,37.945888,0.136330
5,15,0.243216,0.720586,58.655556,22.238443,0.079897
5,16,0.243156,0.708562,60.886180,23.983216,0.086166
5,17,0.256657,0.706359,59.738623,23.945236,0.086029
5,18,0.197429,0.706199,69.820772,24.043027,0.086381
5,19,0.288179,0.706722,65.532016,42.056625,0.151099
5,20,0.369893,0.711010,64.531738,40.037836,0.143846
5,21,0.197132,0.700564,73.158517,28.710071,0.103148
5,22,0.380429,0.736415,73.196315,51.146810,0.183758
5,23,0.510736,0.691642,58.658776,35.395283,0.127166
5,24,0.791502,0.716122,68.919633,60.917174,0.218860
5,25,0.779304,0.743477,49.746568,24.513770,0.088072
5,26,0.293086,0.694954,68.660894,59.569871,0.214020
5,27,0.149203,0.823408,173.813551,29.409894,0.105662
5,28,0.987474,0.776940,99.942842,65.890747,0.236729
5,29,1.064955,0.748687,85.483800,53.461598,0.192074
5,30,1.065556,0.807282,120.333763,83.828582,0.301175
5,31,0.249802,0.725432,60.286293,23.834133,0.085630
5,32,0.236068,0.709692,62.798859,24.427127,0.087761
5,33,0.305734,0.711498,64.374443,31.421739,0.112890
5,34,0.257471,0.706597,62.980868,28.695182,0.103095
5,35,0.307722,0.733111,55.496507,28.498167,0.102387
