beta1	beta2	beta3	lmax
1.710652e+01	1.493083e+01	2.402827e+01	-9.410353
1.710658e+01	1.493082e+01	2.402822e+01	-9.410353
1.710664e+01	1.493078e+01	2.402817e+01	-9.410351
1.710669e+01	1.493078e+01	2.402811e+01	-9.410350
1.710675e+01	1.493077e+01	2.402806e+01	-9.410352
1.710681e+01	1.493074e+01	2.402800e+01	-9.410351
1.710686e+01	1.493075e+01	2.402794e+01	-9.410351
1.710692e+01	1.493074e+01	2.402790e+01	-9.410357
1.710698e+01	1.493073e+01	2.402785e+01	-9.410354
1.710704e+01	1.493071e+01	2.402778e+01	-9.410351
1.710709e+01	1.493070e+01	2.402772e+01	-9.410351
1.710715e+01	1.493069e+01	2.402770e+01	-9.410352
1.710721e+01	1.493068e+01	2.402764e+01	-9.410355
1.710726e+01	1.493066e+01	2.402756e+01	-9.410350
1.710732e+01	1.493065e+01	2.402752e+01	-9.410353
1.710738e+01	1.493064e+01	2.402746e+01	-9.410357
1.710744e+01	1.493062e+01	2.402741e+01	-9.410351
1.710749e+01	1.493062e+01	2.402736e+01	-9.410350
1.710755e+01	1.493060e+01	2.402729e+01	-9.410350
1.710761e+01	1.493058e+01	2.402724e+01	-9.410350
1.710766e+01	1.493057e+01	2.402719e+01	-9.410348
1.710772e+01	1.493056e+01	2.402714e+01	-9.410352
1.710778e+01	1.493054e+01	2.402708e+01	-9.410351
1.710783e+01	1.493053e+01	2.402703e+01	-9.410353
1.710789e+01	1.493052e+01	2.402698e+01	-9.410355
1.710795e+01	1.493051e+01	2.402692e+01	-9.410351
1.710801e+01	1.493050e+01	2.402688e+01	-9.410355
1.710806e+01	1.493049e+01	2.402681e+01	-9.410350
1.710812e+01	1.493049e+01	2.402677e+01	-9.410351
1.710818e+01	1.493046e+01	2.402671e+01	-9.410353
1.710823e+01	1.493045e+01	2.402664e+01	-9.410349
1.710829e+01	1.493044e+01	2.402657e+01	-9.410352
1.710835e+01	1.493043e+01	2.402653e+01	-9.410350
1.710841e+01	1.493042e+01	2.402648e+01	-9.410349
1.710846e+01	1.493039e+01	2.402644e+01	-9.410351
1.710852e+01	1.493039e+01	2.402639e+01	-9.410349
1.710858e+01	1.493038e+01	2.402632e+01	-9.410350
1.710863e+01	1.493037e+01	2.402626e+01	-9.410349
1.710869e+01	1.493035e+01	2.402621e+01	-9.410351
1.710875e+01	1.493034e+01	2.402615e+01	-9.410350
1.710880e+01	1.493033e+01	2.402610e+01	-9.410347
1.710886e+01	1.493032e+01	2.402607e+01	-9.410349
1.710892e+01	1.493030e+01	2.402601e+01	-9.410351
1.710898e+01	1.493028e+01	2.402594e+01	-9.410347
1.710903e+01	1.493027e+01	2.402589e+01	-9.410347
1.710909e+01	1.493027e+01	2.402582e+01	-9.410349
1.710915e+01	1.493026e+01	2.402580e+01	-9.410352
1.710920e+01	1.493024e+01	2.402574e+01	-9.410349
1.710926e+01	1.493021e+01	2.402567e+01	-9.410347
1.710932e+01	1.493023e+01	2.402563e+01	-9.410350
1.710938e+01	1.493020e+01	2.402557e+01	-9.410349
1.710943e+01	1.493019e+01	2.402551e+01	-9.410351
1.710949e+01	1.493018e+01	2.402546e+01	-9.410354
1.710955e+01	1.493017e+01	2.402540e+01	-9.410349
1.710960e+01	1.493017e+01	2.402535e+01	-9.410349
1.710966e+01	1.493015e+01	2.402529e+01	-9.410347
1.710972e+01	1.493013e+01	2.402525e+01	-9.410346
1.710977e+01	1.493012e+01	2.402519e+01	-9.410349
1.710983e+01	1.493010e+01	2.402513e+01	-9.410345
1.710989e+01	1.493009e+01	2.402507e+01	-9.410349
1.710995e+01	1.493009e+01	2.402502e+01	-9.410348
1.711000e+01	1.493006e+01	2.402496e+01	-9.410351
1.711006e+01	1.493006e+01	2.402491e+01	-9.410347
1.711012e+01	1.493005e+01	2.402487e+01	-9.410348
1.711017e+01	1.493004e+01	2.402479e+01	-9.410349
1.711023e+01	1.493001e+01	2.402475e+01	-9.410349
1.711029e+01	1.493000e+01	2.402469e+01	-9.410349
1.711034e+01	1.493001e+01	2.402465e+01	-9.410349
1.711040e+01	1.492998e+01	2.402460e+01	-9.410351
1.711046e+01	1.492998e+01	2.402453e+01	-9.410347
1.711052e+01	1.492996e+01	2.402447e+01	-9.410349
1.711057e+01	1.492996e+01	2.402441e+01	-9.410346
1.711063e+01	1.492994e+01	2.402437e+01	-9.410349
1.711069e+01	1.492994e+01	2.402431e+01	-9.410349
1.711074e+01	1.492991e+01	2.402426e+01	-9.410348
1.711080e+01	1.492989e+01	2.402421e+01	-9.410350
1.711086e+01	1.492989e+01	2.402417e+01	-9.410348
1.711092e+01	1.492989e+01	2.402410e+01	-9.410349
1.711097e+01	1.492986e+01	2.402406e+01	-9.410353
1.711103e+01	1.492985e+01	2.402399e+01	-9.410353
1.711109e+01	1.492984e+01	2.402394e+01	-9.410349
1.711114e+01	1.492982e+01	2.402388e+01	-9.410349
1.711120e+01	1.492980e+01	2.402383e+01	-9.410348
1.711126e+01	1.492980e+01	2.402376e+01	-9.410347
1.711131e+01	1.492979e+01	2.402370e+01	-9.410345
1.711137e+01	1.492977e+01	2.402366e+01	-9.410347
1.711143e+01	1.492975e+01	2.402361e+01	-9.410349
1.711149e+01	1.492975e+01	2.402356e+01	-9.410348
1.711154e+01	1.492974e+01	2.402349e+01	-9.410344
1.711160e+01	1.492973e+01	2.402344e+01	-9.410343
1.711166e+01	1.492972e+01	2.402340e+01	-9.410349
1.711171e+01	1.492970e+01	2.402334e+01	-9.410351
1.711177e+01	1.492969e+01	2.402329e+01	-9.410347
1.711183e+01	1.492968e+01	2.402323e+01	-9.410349
1.711189e+01	1.492967e+01	2.402319e+01	-9.410348
1.711194e+01	1.492966e+01	2.402312e+01	-9.410347
1.711200e+01	1.492965e+01	2.402306e+01	-9.410347
1.711206e+01	1.492964e+01	2.402301e+01	-9.410345
1.711211e+01	1.492961e+01	2.402296e+01	-9.410346
1.711217e+01	1.492961e+01	2.402290e+01	-9.410346
1.711223e+01	1.492959e+01	2.402286e+01	-9.410350
1.711228e+01	1.492958e+01	2.402281e+01	-9.410345
1.711234e+01	1.492957e+01	2.402274e+01	-9.410344
1.711240e+01	1.492956e+01	2.402269e+01	-9.410346
1.711246e+01	1.492954e+01	2.402265e+01	-9.410345
1.711251e+01	1.492952e+01	2.402259e+01	-9.410347
1.711257e+01	1.492952e+01	2.402254e+01	-9.410349
1.711263e+01	1.492949e+01	2.402248e+01	-9.410343
1.711268e+01	1.492950e+01	2.402243e+01	-9.410344
1.711274e+01	1.492949e+01	2.402237e+01	-9.410347
1.711280e+01	1.492947e+01	2.402230e+01	-9.410344
1.711286e+01	1.492946e+01	2.402225e+01	-9.410345
1.711291e+01	1.492945e+01	2.402219e+01	-9.410345
1.711297e+01	1.492943e+01	2.402216e+01	-9.410346
1.711303e+01	1.492943e+01	2.402209e+01	-9.410345
1.711308e+01	1.492940e+01	2.402205e+01	-9.410342
1.711314e+01	1.492938e+01	2.402200e+01	-9.410346
1.711320e+01	1.492937e+01	2.402194e+01	-9.410343
1.711325e+01	1.492936e+01	2.402188e+01	-9.410346
1.711331e+01	1.492936e+01	2.402182e+01	-9.410344
1.711337e+01	1.492934e+01	2.402177e+01	-9.410346
1.711343e+01	1.492933e+01	2.402173e+01	-9.410345
1.711348e+01	1.492931e+01	2.402166e+01	-9.410344
1.711354e+01	1.492931e+01	2.402161e+01	-9.410347
