beta1	beta2	beta3	dist	lmax
1.698164708127181e+01	1.495794478934822e+01	2.414994969566686e+01	7.201417724573864	-9.409856017449272
1.697942726181458e+01	1.495843401257817e+01	2.415217188504450e+01	7.203465461480194	-9.409838084012408
1.697718919118613e+01	1.495892323580811e+01	2.415440884649958e+01	7.205528927162986	-9.409817600057185
1.697495591084174e+01	1.495941245903806e+01	2.415663946302803e+01	7.207586989679596	-9.409796717159328
1.697271255925638e+01	1.495990168226801e+01	2.415888569595271e+01	7.209661132388897	-9.409775414119700
1.697049004237560e+01	1.496039090549795e+01	2.416111475755999e+01	7.211718780279322	-9.409755133429723
1.696824768713583e+01	1.496088012872790e+01	2.416336269843818e+01	7.213796132994563	-9.409732250193638
1.696601941654937e+01	1.496136935195785e+01	2.416559367774478e+01	7.215857559531608	-9.409710050376470
1.696380280127547e+01	1.496185857518779e+01	2.416782353738121e+01	7.217918083514075	-9.409688549414838
1.696156466272938e+01	1.496234779841774e+01	2.417007285940425e+01	7.219998972502189	-9.409665604106142
1.695932208871273e+01	1.496283702164768e+01	2.417232593663757e+01	7.222084479297315	-9.409641435180777
1.695709631625156e+01	1.496332624487763e+01	2.417457220918961e+01	7.224163432948349	-9.409618388371136
1.695486418857142e+01	1.496381546810758e+01	2.417681922782344e+01	7.226244280756935	-9.409594336261636
1.695263597013257e+01	1.496430469133752e+01	2.417906740805152e+01	7.228326812220654	-9.409569856395613
1.695041205207227e+01	1.496479391456747e+01	2.418131326395493e+01	7.230407720899399	-9.409545456539796
1.694817770064405e+01	1.496528313779742e+01	2.418356704035867e+01	7.232497518734702	-9.409519121683241
1.694597635338728e+01	1.496577236102736e+01	2.418579225006720e+01	7.234559284669118	-9.409492774917767
1.694373540768487e+01	1.496626158425731e+01	2.418806459542800e+01	7.236668581613295	-9.409468375436418
1.694150209054080e+01	1.496675080748726e+01	2.419032652168066e+01	7.238768439355935	-9.409441834270769
1.693929013105189e+01	1.496724003071720e+01	2.419256718957173e+01	7.240847815685111	-9.409414191417746
1.693705053506458e+01	1.496772925394715e+01	2.419484222492249e+01	7.242962023289894	-9.409387494440452
1.693482397555983e+01	1.496821847717710e+01	2.419710466528635e+01	7.245064401634830	-9.409359375966865
1.693260076784810e+01	1.496870770040704e+01	2.419935911212357e+01	7.247159864630529	-9.409330898662791
1.693037983637458e+01	1.496919692363699e+01	2.420162028383074e+01	7.249262325334881	-9.409303020556123
1.692815478237159e+01	1.496968614686694e+01	2.420388774096929e+01	7.251371766665675	-9.409274338680675
1.692593118014716e+01	1.497017537009688e+01	2.420615152279962e+01	7.253478469105281	-9.409244884449357
1.692371221222531e+01	1.497066459332683e+01	2.420841831201161e+01	7.255588519914516	-9.409215378015219
1.692149118044846e+01	1.497115381655678e+01	2.421068542831850e+01	7.257699814789885	-9.409185338775298
1.691928391576737e+01	1.497164303978672e+01	2.421293912958400e+01	7.259798416161957	-9.409155246714722
1.691705278218341e+01	1.497213226301667e+01	2.421522068709534e+01	7.261925555606603	-9.409124479087639
1.691484133112931e+01	1.497262148624661e+01	2.421748347749426e+01	7.264034581552553	-9.409093090918750
1.691264702062628e+01	1.497311070947656e+01	2.421972905519053e+01	7.266127100904138	-9.409060456963045
1.691040688750244e+01	1.497359993270651e+01	2.422202891720316e+01	7.268274468698570	-9.409029821675993
1.690817945295795e+01	1.497408915593645e+01	2.422431195669868e+01	7.270405991980296	-9.408996682631475
1.690597202928127e+01	1.497457837916640e+01	2.422657952300259e+01	7.272522451320020	-9.408963961019623
1.690374593558696e+01	1.497506760239635e+01	2.422886699937970e+01	7.274659671489350	-9.408930659288238
1.690154949679767e+01	1.497555682562629e+01	2.423112624880006e+01	7.276769171243811	-9.408896722808555
1.689931565075666e+01	1.497604604885624e+01	2.423342885604614e+01	7.278922750387521	-9.408863184113802
1.689710101843831e+01	1.497653527208619e+01	2.423570841607388e+01	7.281054163574707	-9.408828523050538
1.689490261138427e+01	1.497702449531613e+01	2.423797840183458e+01	7.283176277108521	-9.408794410581571
1.689268699021354e+01	1.497751371854608e+01	2.424026549238059e+01	7.285316434286642	-9.408759225699134
